Row,z_1,z_2
0,-2.115597599844756,-0.3234181060268831
1,-2.0872519384241626,-0.25030827418744056
2,-2.065172898280188,-0.24068253176352092
3,-2.0301374009618196,-0.2250863296444521
4,-1.9437023540305562,-0.227871499948122
5,-1.8876443911827878,-0.23042857421910012
6,-1.7225236584135901,-0.3214720484947587
7,-1.5457834063757088,-0.4874478168723199
8,-1.4581686728357273,-0.7153512925367522
9,-1.3374453148589385,-0.8564374637358618
10,-1.3592847648398154,-0.9492376432453073
11,-1.3716531259915992,-1.0269364411104738
12,-1.435642960608298,-1.0826775000018862
13,-1.5266715897224932,-1.021284023250314
14,-1.682239584373275,-0.9690744930364198
15,-1.7409849955196308,-0.8979237095964876
16,-1.894224070005736,-0.7129253083464019
17,-2.042787916564071,-0.472834595162288
18,,
19,-0.7467199069664927,-2.1517033484412815
20,-0.8170730461209846,-1.8320230195610978
21,-0.7079881972029911,-2.0842544477568556
22,,
23,-0.7058247392825043,-2.0804869182750734
24,-0.8170730461209846,-1.8320230195610978
25,-0.6870310622848472,-2.04775888067874
26,-0.6876690904395969,-2.0488699676384003
27,,
28,-0.6868559525749521,-2.0474539378423997
29,-0.8170730461209846,-1.8320230195610978
30,-0.686688994954084,-2.0471631913698785
31,,
32,-0.6861934068147112,-2.0463001549741957
33,-0.8170730461209846,-1.8320230195610978
34,-0.6859937772417994,-2.0459525122979696
35,-0.6861511587171935,-2.0462265824995756
36,,
37,-0.6858657444406693,-2.0457295510153273
38,-0.6859566968389712,-2.04588793904719
39,-0.8170730461209846,-1.8320230195610978
40,-0.685747027365581,-2.045522812499107
41,,
42,-0.8170730461209846,-1.8320230195610978
43,-0.6855830149849134,-2.045237194982034
44,-0.6857143483619128,-2.04546590401543
45,,
46,-0.6855094532146224,-2.0451090916638788
47,-0.8170730461209846,-1.8320230195610978
48,-0.6854128587586638,-2.044940878334119
49,,
50,-0.685046071224844,-2.0443021403054606
51,-0.8170730461209846,-1.8320230195610978
52,-0.6660507180586737,-2.0112228960119913
53,-0.6846702795278834,-2.0436477220780938
54,,
55,-0.6657681610064802,-2.010730840208944
56,-0.6660415027575568,-2.0112068481294267
57,-0.8170730461209846,-1.8320230195610978
58,-0.6657558209212597,-2.0107093507062204
59,,
60,-0.8170730461209846,-1.8320230195610978
61,-0.6655673427421958,-2.0103811274994863
62,-0.6656366016138608,-2.010501737583187
63,,
64,-0.6655663711524067,-2.0103794355353672
65,-0.8170730461209846,-1.8320230195610978
66,-0.6655569313652241,-2.0103629967240666
67,,
68,-0.8170730461209846,-1.8320230195610978
69,-0.6652953363661298,-2.009907445052808
70,-0.6653953882678401,-2.0100816793126164
71,,
72,-0.8170730461209846,-1.8320230195610978
73,-0.6652022136931366,-2.0097452776204756
74,-0.665216651236308,-2.009770419717776
75,,
76,-0.665063858930645,-2.0095043412742237
77,-0.6651222093842708,-2.0096059550159238
78,-0.8170730461209846,-1.8320230195610978
79,-0.6650206407273342,-2.009429079419772
80,,
81,-0.8170730461209846,-1.8320230195610978
82,-0.6649699106572262,-2.009340736109309
83,-0.6649865340811673,-2.00936968478411
84,,
85,-0.8170730461209846,-1.8320230195610978
86,-0.6648991397484114,-2.009217492905506
87,-0.6649240830346608,-2.0092609301110222
88,,
89,-0.8170730461209846,-1.8320230195610978
90,-0.6646798605199569,-2.0088356315574663
91,-0.6646857154443233,-2.008845827549704
92,,
93,-0.8170730461209846,-1.8320230195610978
94,-0.6646536801697673,-2.0087900400808545
95,-0.6646770135989968,-2.008830673818955
96,,
97,-0.8170730461209846,-1.8320230195610978
98,-0.664555193702313,-2.0086185319289385
99,-0.6645833288432585,-2.008667527553943
100,,
101,-0.6642316924538318,-2.008055174315414
102,-0.8170730461209846,-1.8320230195610978
103,-0.6642210996677396,-2.0080367276271196
104,,
105,-0.8170730461209846,-1.8320230195610978
106,-0.6640433888636061,-2.00772725514445
107,-0.6640825209386136,-2.007795401256689
108,,
109,-0.8170730461209846,-1.8320230195610978
110,-0.6636707086335694,-2.00707825534619
111,-0.6637399338748098,-2.0071988068645656
112,,
113,-0.6635821422046853,-2.006924022333956
114,-0.8170730461209846,-1.8320230195610978
115,-0.663428750007304,-2.006656899215712
116,,
117,-0.8170730461209846,-1.8320230195610978
118,-0.6633011997607103,-2.006434778272245
119,-0.6633278341399585,-2.0064811604126587
120,,
121,-0.8170730461209846,-1.8320230195610978
122,-0.6632829803543269,-2.006403050291756
123,-0.6632937208378138,-2.0064217541860185
124,,
125,-0.6630376969234911,-2.005975904217725
126,-0.8170730461209846,-1.8320230195610978
127,-0.6629419133461044,-2.005809102983341
128,,
129,-0.6628599180987229,-2.005666313281286
130,-0.8170730461209846,-1.8320230195610978
131,-0.6439943896546272,-1.9728131507910491
132,-0.6447293775081568,-1.9740930871284756
133,-0.6627511199498994,-2.0054768479677363
134,,
135,-0.8170730461209846,-1.8320230195610978
136,-0.6437900369908522,-1.972457283141319
137,-0.6439432321217498,-1.9727240630803495
138,,
139,-0.6437151992086159,-1.9723269577265021
140,-0.6437733103396015,-1.9724281547024796
141,-0.8170730461209846,-1.8320230195610978
142,-0.6435981794180059,-1.9721231749272616
143,-0.6436742965954092,-1.972255728330414
144,,
145,-0.6435373349495699,-1.9720172180114997
146,-0.8170730461209846,-1.8320230195610978
147,-0.6434281417812449,-1.9718270647956786
148,-0.6434930014435511,-1.9719400139256817
149,,
150,-0.6433892505394214,-1.9717593380796814
151,-0.8170730461209846,-1.8320230195610978
152,-0.6431838209778262,-1.971401595078345
153,,
154,-0.8170730461209846,-1.8320230195610978
155,-0.6431170225269622,-1.971285269666797
156,-0.6431514998813215,-1.9713453098680749
157,,
158,-0.8170730461209846,-1.8320230195610978
159,-0.6430347587925065,-1.9711420124109436
160,-0.6430850230876306,-1.9712295446027959
161,,
162,-0.6429953744236915,-1.9710734269444887
163,-0.8170730461209846,-1.8320230195610978
164,-0.64294175307481,-1.970980048649098
165,,
166,-0.8170730461209846,-1.8320230195610978
167,-0.6428989245468495,-1.9709054653904063
168,-0.6429110256410986,-1.9709265387049895
169,,
170,-0.8170730461209846,-1.8320230195610978
171,-0.6426098930108204,-1.9704021346702465
172,-0.6426231755568321,-1.970425265410724
173,,
174,-0.8170730461209846,-1.8320230195610978
175,-0.6424929240117647,-1.9701984403213875
176,-0.6425073834864993,-1.9702236206111625
177,,
178,-0.8170730461209846,-1.8320230195610978
179,-0.6422758623685432,-1.9698204407622295
180,-0.642298491659308,-1.9698598482863143
181,,
182,-0.8170730461209846,-1.8320230195610978
183,-0.6422105922312236,-1.9697067768151275
184,-0.6422719260120842,-1.9698135858385124
185,,
186,-0.8170730461209846,-1.8320230195610978
187,-0.6421795534121002,-1.9696527246123923
188,-0.6422103848036234,-1.969706415592664
189,,
190,-0.6421422346510455,-1.9695877362753575
191,-0.8170730461209846,-1.8320230195610978
192,-0.6421250317008528,-1.9695577783910783
193,,
194,-0.8170730461209846,-1.8320230195610978
195,-0.6419985735169423,-1.9693375592078977
196,-0.642043050138398,-1.9694150125204848
197,,
198,-0.6419205794328211,-1.9692017372866348
199,-0.6419765549536114,-1.9692992152282391
200,-0.8170730461209846,-1.8320230195610978
201,-0.6418714202892655,-1.9691161296485613
202,,
203,-0.8170730461209846,-1.8320230195610978
204,-0.6417487270441833,-1.9689024668757908
205,-0.6418176768938368,-1.969022538816583
206,,
207,-0.8170730461209846,-1.8320230195610978
208,-0.6413485844837589,-1.9682056431109103
209,-0.6415813880237098,-1.9686110562192136
210,-0.6416913686525731,-1.9688025807493392
211,,
212,-0.6412917841871866,-1.9681067288727898
213,-0.8170730461209846,-1.8320230195610978
214,-0.6221354611606206,-1.934747165424982
215,-0.6222505091870751,-1.9349475145176929
216,-0.6410150013814249,-1.9676247285662976
217,,
218,-0.8170730461209846,-1.8320230195610978
219,-0.621869676963527,-1.9342843185219474
220,-0.6219919428206939,-1.9344972370248357
221,,
222,-0.8170730461209846,-1.8320230195610978
223,-0.6217637159379961,-1.934099793884871
224,-0.6218153413243831,-1.9341896963338072
225,,
226,-0.8170730461209846,-1.8320230195610978
227,-0.6216149913759716,-1.9338407991677626
228,-0.621650391504728,-1.9339024463241439
229,,
230,-0.6213015780590372,-1.933295009069258
231,-0.8170730461209846,-1.8320230195610978
232,-0.6212507009572695,-1.9332064097121626
233,,
234,-0.8170730461209846,-1.8320230195610978
235,-0.621193801105633,-1.933107322104995
236,-0.6212105310426502,-1.9331364562657956
237,,
238,-0.8170730461209846,-1.8320230195610978
239,-0.6211277563240378,-1.9329923091623247
240,-0.6211530942675524,-1.9330364336392998
241,,
242,-0.6210207151178624,-1.932805903456805
243,-0.8170730461209846,-1.8320230195610978
244,-0.6210133676832039,-1.9327931083492924
245,,
246,-0.8170730461209846,-1.8320230195610978
247,-0.6209102724627513,-1.9326135743362622
248,-0.6209229609145495,-1.932635670498048
249,,
250,-0.8170730461209846,-1.8320230195610978
251,-0.620876420287196,-1.9325546228455868
252,-0.62087965770637,-1.9325602606128236
253,,
254,-0.6204658772597531,-1.9318396873043013
255,-0.8170730461209846,-1.8320230195610978
256,-0.6204540500675656,-1.9318190909733852
257,,
258,-0.8170730461209846,-1.8320230195610978
259,-0.6203800316042863,-1.931690192352358
260,-0.6203869211313144,-1.931702190041774
261,,
262,-0.8170730461209846,-1.8320230195610978
263,-0.6203483784820163,-1.9316350703783125
264,-0.6203742734480366,-1.9316801648758697
265,,
266,-0.8170730461209846,-1.8320230195610978
267,-0.6202946113232339,-1.9315414381639084
268,-0.6203026452818691,-1.9315554288108845
269,,
270,-0.8170730461209846,-1.8320230195610978
271,-0.6202547724805942,-1.9314720612591192
272,-0.6202838139363432,-1.9315226351758532
273,,
274,-0.8170730461209846,-1.8320230195610978
275,-0.6202249554739214,-1.9314201367679449
276,-0.6202418890023331,-1.9314496254706912
277,,
278,-0.8170730461209846,-1.8320230195610978
279,-0.6202037152773207,-1.9313831482662809
280,-0.6202072265959591,-1.9313892630126617
281,,
282,-0.6201385847910214,-1.9312697275128787
283,-0.8170730461209846,-1.8320230195610978
284,-0.6201262901977433,-1.9312483172315864
285,,
286,-0.8170730461209846,-1.8320230195610978
287,-0.6200410663986535,-1.9310999052044424
288,-0.6200614541238538,-1.9311354091793664
289,,
290,-0.8170730461209846,-1.8320230195610978
291,-0.6199480344717883,-1.9309378958009347
292,-0.6199534683872798,-1.9309473586319987
293,,
294,-0.6199176648191065,-1.930885008910579
295,-0.8170730461209846,-1.8320230195610978
296,-0.6198829049027379,-1.9308244766448655
297,,
298,-0.8170730461209846,-1.8320230195610978
299,-0.6197716790437446,-1.9306307836227248
300,-0.6197862510361611,-1.930656159855152
301,,
302,-0.8170730461209846,-1.8320230195610978
303,-0.6197331700377512,-1.9305637225470178
304,-0.6197423506839392,-1.930579710080146
305,,
306,-0.6196567722443386,-1.9304306804682698
307,-0.8170730461209846,-1.8320230195610978
308,-0.6196471629525888,-1.9304139464751453
309,,
310,-0.8170730461209846,-1.8320230195610978
311,-0.6196124571255635,-1.9303535084027106
312,-0.6196306078516485,-1.9303851167806658
313,,
314,-0.8170730461209846,-1.8320230195610978
315,-0.6194676680335343,-1.9301013670655969
316,-0.6195051078798175,-1.9301665662651426
317,,
318,-0.8170730461209846,-1.8320230195610978
319,-0.6193721134758097,-1.9299349646549298
320,-0.6193912276439304,-1.9299682508081906
321,,
322,-0.8170730461209846,-1.8320230195610978
323,-0.6193392362529179,-1.9298777109846132
324,-0.6193590138833058,-1.929912152516783
325,,
326,-0.6192959252203516,-1.929802287473698
327,-0.8170730461209846,-1.8320230195610978
328,-0.6192146725624963,-1.9296607909458272
329,-0.6192526182997444,-1.929726871123508
330,,
331,-0.6191422118971472,-1.9295346051344984
332,-0.6191749789020446,-1.9295916668669275
333,-0.8170730461209846,-1.8320230195610978
334,-0.6189139982536579,-1.929137185049805
335,,
336,-0.5998679181355965,-1.895969602876056
337,-0.6188771358122029,-1.9290729913654086
338,-0.8170730461209846,-1.8320230195610978
339,-0.5996722261327811,-1.895628817237022
340,,
341,-0.8170730461209846,-1.8320230195610978
342,-0.5993498695042987,-1.8950674529091303
343,-0.5996405576694589,-1.895573668547473
344,,
345,-0.8170730461209846,-1.8320230195610978
346,-0.5991001283602121,-1.8946325440004566
347,-0.5991878069576693,-1.8947852309086297
348,,
349,-0.5989201991204715,-1.8943192082480307
350,-0.8170730461209846,-1.8320230195610978
351,-0.5989086916781748,-1.8942991687419686
352,,
353,-0.8170730461209846,-1.8320230195610978
354,-0.5987854605905483,-1.894084569349344
355,-0.5988809062593083,-1.8942507821365482
356,,
357,-0.5987206649873704,-1.8939717317743905
358,-0.5987462493404294,-1.8940162853584974
359,-0.8170730461209846,-1.8320230195610978
360,-0.5986504575394072,-1.8938494698031556
361,,
362,-0.8170730461209846,-1.8320230195610978
363,-0.5985428498680637,-1.8936620776332347
364,-0.5985635285540409,-1.893698088298534
365,,
366,-0.8170730461209846,-1.8320230195610978
367,-0.5985189949874774,-1.893620535819529
368,-0.5985400659513695,-1.8936572296127945
369,,
370,-0.8170730461209846,-1.8320230195610978
371,-0.5984566994567231,-1.8935120519676
372,-0.5984794704091155,-1.8935517061867344
373,,
374,-0.5983348500300849,-1.893299858652976
375,-0.8170730461209846,-1.8320230195610978
376,-0.5983139723009788,-1.8932635013662569
377,,
378,-0.8170730461209846,-1.8320230195610978
379,-0.5982125592331479,-1.8930868967190053
380,-0.598247385280067,-1.893147544147023
381,,
382,-0.5981633294830992,-1.8930011661240478
383,-0.5981802931367566,-1.8930307072880648
384,-0.8170730461209846,-1.8320230195610978
385,-0.5981418956837227,-1.8929638404750058
386,,
387,-0.8170730461209846,-1.8320230195610978
388,-0.5980879199762179,-1.8928698450857728
389,-0.5980966329253179,-1.8928850181530634
390,,
391,-0.8170730461209846,-1.8320230195610978
392,-0.5980721805843315,-1.8928424358986584
393,-0.5980796453766916,-1.8928554353774212
394,,
395,-0.5979925519349569,-1.8927037674821054
396,-0.8170730461209846,-1.8320230195610978
397,-0.5979713393525261,-1.892666827068827
398,,
399,-0.8170730461209846,-1.8320230195610978
400,-0.5978416054038775,-1.8924409033419578
401,-0.5978445678235146,-1.892446062214342
402,,
403,-0.5978166149304647,-1.8923973839628863
404,-0.5978261498201313,-1.892413988389339
405,-0.8170730461209846,-1.8320230195610978
406,-0.5978085168569676,-1.8923832816638042
407,,
408,-0.8170730461209846,-1.8320230195610978
409,-0.5975891232233439,-1.8920012210861685
410,-0.5975937211596182,-1.8920092281106193
411,,
412,-0.8170730461209846,-1.8320230195610978
413,-0.5973853560653375,-1.8916463730588788
414,-0.5974079251666851,-1.8916856757667795
415,,
416,-0.5973635935093521,-1.8916084749003346
417,-0.5973737866736428,-1.8916262256717338
418,-0.8170730461209846,-1.8320230195610978
419,-0.5973448834430675,-1.8915758924656751
420,,
421,-0.8170730461209846,-1.8320230195610978
422,-0.5972016189116116,-1.891326406057438
