Row,z_1,z_2
0,-1.3716531259915992,-1.0269364411104738
1,-1.4141167908163346,-1.046395896720178
2,-1.479270994299829,-1.0268181098255869
3,,
4,-1.682239584373275,-0.9690744930364198
5,-1.7409849955196308,-0.8979237095964876
6,-1.894224070005736,-0.7129253083464019
7,-1.4849796949315033,-0.6784047281469983
8,-1.479270994299829,-1.0268181098255869
9,-1.562152505750738,-1.0008802774048924
10,,
11,-2.042787916564071,-0.472834595162288
12,-1.8334192402952203,-0.3364417256331117
13,-1.7393402537533627,-0.37630534392165255
14,-1.5927860097806685,-0.5037081916025938
15,-1.894224070005736,-0.7129253083464019
16,,
17,-2.042787916564071,-0.472834595162288
18,-2.0091536596575374,-0.2935885428912053
19,-1.9154923353631796,-0.29228994557032595
20,,
21,-2.0275949649559495,-0.29462690000530745
22,-2.0091536596575374,-0.2935885428912053
23,-2.0545212928601333,-0.3325910981056347
24,,
25,-0.7467199069664927,-2.1517033484412815
26,-0.8170730461209846,-1.8320230195610978
27,-0.7079881972029911,-2.0842544477568556
28,,
29,-0.7058247392825043,-2.0804869182750734
30,-0.8170730461209846,-1.8320230195610978
31,-0.6870310622848472,-2.04775888067874
32,,
33,-0.6861511587171935,-2.0462265824995756
34,-0.6861934068147112,-2.0463001549741957
35,-0.8170730461209846,-1.8320230195610978
36,-0.6859937772417994,-2.0459525122979696
37,,
38,-0.8170730461209846,-1.8320230195610978
39,-0.685747027365581,-2.045522812499107
40,-0.6858657444406693,-2.0457295510153273
41,-0.6859566968389712,-2.04588793904719
42,,
43,-0.6857143483619128,-2.04546590401543
44,-0.8170730461209846,-1.8320230195610978
45,-0.6855830149849134,-2.045237194982034
46,,
47,-0.6855094532146224,-2.0451090916638788
48,-0.8170730461209846,-1.8320230195610978
49,-0.6854128587586638,-2.044940878334119
50,,
51,-0.685046071224844,-2.0443021403054606
52,-0.8170730461209846,-1.8320230195610978
53,-0.6660507180586737,-2.0112228960119913
54,-0.6846702795278834,-2.0436477220780938
55,,
56,-0.6657681610064802,-2.010730840208944
57,-0.6660415027575568,-2.0112068481294267
58,-0.8170730461209846,-1.8320230195610978
59,-0.6657558209212597,-2.0107093507062204
60,,
61,-0.6656366016138608,-2.010501737583187
62,-0.8170730461209846,-1.8320230195610978
63,-0.6655673427421958,-2.0103811274994863
64,,
65,-0.8170730461209846,-1.8320230195610978
66,-0.6655569313652241,-2.0103629967240666
67,-0.6655663711524067,-2.0103794355353672
68,,
69,-0.8170730461209846,-1.8320230195610978
70,-0.6652953363661298,-2.009907445052808
71,-0.6653953882678401,-2.0100816793126164
72,,
73,-0.665216651236308,-2.009770419717776
74,-0.8170730461209846,-1.8320230195610978
75,-0.6652022136931366,-2.0097452776204756
76,,
77,-0.6651222093842708,-2.0096059550159238
78,-0.8170730461209846,-1.8320230195610978
79,-0.6650206407273342,-2.009429079419772
80,-0.665063858930645,-2.0095043412742237
81,,
82,-0.6649865340811673,-2.00936968478411
83,-0.8170730461209846,-1.8320230195610978
84,-0.6649699106572262,-2.009340736109309
85,,
86,-0.8170730461209846,-1.8320230195610978
87,-0.6648991397484114,-2.009217492905506
88,-0.6649240830346608,-2.0092609301110222
89,,
90,-0.8170730461209846,-1.8320230195610978
91,-0.6646798605199569,-2.0088356315574663
92,-0.6646857154443233,-2.008845827549704
93,,
94,-0.6646770135989968,-2.008830673818955
95,-0.8170730461209846,-1.8320230195610978
96,-0.6646536801697673,-2.0087900400808545
97,,
98,-0.6645833288432585,-2.008667527553943
99,-0.8170730461209846,-1.8320230195610978
100,-0.664555193702313,-2.0086185319289385
101,,
102,-0.6640825209386136,-2.007795401256689
103,-0.8170730461209846,-1.8320230195610978
104,-0.6640433888636061,-2.00772725514445
105,,
106,-0.8170730461209846,-1.8320230195610978
107,-0.6636707086335694,-2.00707825534619
108,-0.6637399338748098,-2.0071988068645656
109,,
110,-0.8170730461209846,-1.8320230195610978
111,-0.663428750007304,-2.006656899215712
112,-0.6635821422046853,-2.006924022333956
113,,
114,-0.6633278341399585,-2.0064811604126587
115,-0.8170730461209846,-1.8320230195610978
116,-0.6633011997607103,-2.006434778272245
117,,
118,-0.8170730461209846,-1.8320230195610978
119,-0.6632829803543269,-2.006403050291756
120,-0.6632937208378138,-2.0064217541860185
121,,
122,-0.6439943896546272,-1.9728131507910491
123,-0.6447293775081568,-1.9740930871284756
124,-0.6627511199498994,-2.0054768479677363
125,-0.6628599180987229,-2.005666313281286
126,-0.8170730461209846,-1.8320230195610978
127,,
128,-0.8170730461209846,-1.8320230195610978
129,-0.6437900369908522,-1.972457283141319
130,-0.6439432321217498,-1.9727240630803495
131,,
132,-0.6435981794180059,-1.9721231749272616
133,-0.6436742965954092,-1.972255728330414
134,-0.6437151992086159,-1.9723269577265021
135,-0.6437733103396015,-1.9724281547024796
136,-0.8170730461209846,-1.8320230195610978
137,,
138,-0.8170730461209846,-1.8320230195610978
139,-0.6434281417812449,-1.9718270647956786
140,-0.6434930014435511,-1.9719400139256817
141,,
142,-0.8170730461209846,-1.8320230195610978
143,-0.6431170225269622,-1.971285269666797
144,-0.6431514998813215,-1.9713453098680749
145,,
146,-0.6430850230876306,-1.9712295446027959
147,-0.8170730461209846,-1.8320230195610978
148,-0.6430347587925065,-1.9711420124109436
149,,
150,-0.8170730461209846,-1.8320230195610978
151,-0.6424929240117647,-1.9701984403213875
152,-0.6425073834864993,-1.9702236206111625
153,,
154,-0.8170730461209846,-1.8320230195610978
155,-0.6422758623685432,-1.9698204407622295
156,-0.642298491659308,-1.9698598482863143
157,,
158,-0.6422719260120842,-1.9698135858385124
159,-0.8170730461209846,-1.8320230195610978
160,-0.6422105922312236,-1.9697067768151275
161,,
162,-0.8170730461209846,-1.8320230195610978
163,-0.6421795534121002,-1.9696527246123923
164,-0.6422103848036234,-1.969706415592664
165,,
166,-0.8170730461209846,-1.8320230195610978
167,-0.6421250317008528,-1.9695577783910783
168,-0.6421422346510455,-1.9695877362753575
169,,
170,-0.6419205794328211,-1.9692017372866348
171,-0.6419765549536114,-1.9692992152282391
172,-0.8170730461209846,-1.8320230195610978
173,-0.6418714202892655,-1.9691161296485613
174,,
175,-0.6418176768938368,-1.969022538816583
176,-0.8170730461209846,-1.8320230195610978
177,-0.6417487270441833,-1.9689024668757908
178,,
179,-0.6416913686525731,-1.9688025807493392
180,-0.8170730461209846,-1.8320230195610978
181,-0.6413485844837589,-1.9682056431109103
182,-0.6415813880237098,-1.9686110562192136
183,,
184,-0.6221354611606206,-1.934747165424982
185,-0.6222505091870751,-1.9349475145176929
186,-0.6410150013814249,-1.9676247285662976
187,-0.6412917841871866,-1.9681067288727898
188,-0.8170730461209846,-1.8320230195610978
189,,
190,-0.621650391504728,-1.9339024463241439
191,-0.8170730461209846,-1.8320230195610978
192,-0.6216149913759716,-1.9338407991677626
193,,
194,-0.8170730461209846,-1.8320230195610978
195,-0.6210133676832039,-1.9327931083492924
196,-0.6210207151178624,-1.932805903456805
197,,
198,-0.8170730461209846,-1.8320230195610978
199,-0.620876420287196,-1.9325546228455868
200,-0.62087965770637,-1.9325602606128236
201,,
202,-0.6204658772597531,-1.9318396873043013
203,-0.8170730461209846,-1.8320230195610978
204,-0.6204540500675656,-1.9318190909733852
205,,
206,-0.6203869211313144,-1.931702190041774
207,-0.8170730461209846,-1.8320230195610978
208,-0.6203800316042863,-1.931690192352358
209,,
210,-0.6203742734480366,-1.9316801648758697
211,-0.8170730461209846,-1.8320230195610978
212,-0.6203483784820163,-1.9316350703783125
213,,
