Row,z_1,z_2
0,-2.115597599844756,-0.3234181060268831
1,-2.0888235006383713,-0.23798699253382616
2,-2.0301374009618196,-0.2250863296444521
3,-1.9437023540305562,-0.227871499948122
4,-1.8876443911827878,-0.23042857421910012
5,-1.6952353455386153,-0.28657727454078463
6,-1.5457834063757088,-0.4874478168723199
7,-1.4526779753144936,-0.5613075916840711
8,-1.3374453148589385,-0.8564374637358618
9,-1.3352297906120292,-1.116697132809761
10,-1.3816795639903148,-1.1094396434849048
11,-1.435642960608298,-1.0826775000018862
12,-1.5266715897224932,-1.021284023250314
13,-1.682239584373275,-0.9690744930364198
14,-1.7409849955196308,-0.8979237095964876
15,-1.894224070005736,-0.7129253083464019
16,-2.005647002025233,-0.4561886207412096
17,,
18,-0.7467199069664927,-2.1517033484412815
19,-0.8614214609425185,-1.7743471970346874
20,-0.7079881972029911,-2.0842544477568556
21,,
22,-0.7058247392825043,-2.0804869182750734
23,-0.8614214609425185,-1.7743471970346874
24,-0.6870310622848472,-2.04775888067874
25,-0.6876690904395969,-2.0488699676384003
26,,
27,-0.686465120922882,-2.0467733284542327
28,-0.8614214609425185,-1.7743471970346874
29,-0.6863657582744458,-2.0466002944867925
30,,
31,-0.8614214609425185,-1.7743471970346874
32,-0.6861511587171935,-2.0462265824995756
33,-0.6861934068147112,-2.0463001549741957
34,,
35,-0.8614214609425185,-1.7743471970346874
36,-0.685747027365581,-2.045522812499107
37,-0.6858657444406693,-2.0457295510153273
38,-0.6859566968389712,-2.04588793904719
39,,
40,-0.8614214609425185,-1.7743471970346874
41,-0.6855830149849134,-2.045237194982034
42,-0.6857143483619128,-2.04546590401543
43,,
44,-0.8614214609425185,-1.7743471970346874
45,-0.6854128587586638,-2.044940878334119
46,-0.6855094532146224,-2.0451090916638788
47,,
48,-0.6846702795278834,-2.0436477220780938
49,-0.685046071224844,-2.0443021403054606
50,-0.8614214609425185,-1.7743471970346874
51,-0.6660507180586737,-2.0112228960119913
52,,
53,-0.8614214609425185,-1.7743471970346874
54,-0.6657118947532714,-2.0106328559746376
55,-0.6657476225414514,-2.01069507372984
56,,
57,-0.6654845547535826,-2.010236957287122
58,-0.8614214609425185,-1.7743471970346874
59,-0.665441044895789,-2.0101611875342495
60,,
61,-0.6654307402146109,-2.01014324256302
62,-0.8614214609425185,-1.7743471970346874
63,-0.6652953363661298,-2.009907445052808
64,-0.6653953882678401,-2.0100816793126164
65,,
66,-0.665216651236308,-2.009770419717776
67,-0.8614214609425185,-1.7743471970346874
68,-0.6651792722062801,-2.009705326426016
69,,
70,-0.6651432267182515,-2.0096425554159825
71,-0.8614214609425185,-1.7743471970346874
72,-0.6650726686409576,-2.0095196828452404
73,-0.6651222093842708,-2.0096059550159238
74,,
75,-0.6649240830346608,-2.0092609301110222
76,-0.8614214609425185,-1.7743471970346874
77,-0.6648991397484114,-2.009217492905506
78,,
79,-0.8614214609425185,-1.7743471970346874
80,-0.6647873773221109,-2.0090228654842583
81,-0.6648303040228383,-2.009097619704812
82,,
83,-0.8614214609425185,-1.7743471970346874
84,-0.6647700321101904,-2.0089926598598917
