Row,Best_Algorithm
1,2
2,4
3,2
4,3
5,3
6,3
7,1
8,3
9,1
10,2
11,2
12,3
13,2
14,3
15,3
16,3
17,3
18,2
19,3
20,4
21,3
22,3
23,3
24,3
25,2
26,4
27,3
28,3
29,2
30,3
31,3
32,2
33,3
34,3
35,1
36,3
37,2
38,3
39,2
40,3
41,3
42,1
43,3
44,1
45,3
46,2
47,4
48,4
49,2
50,3
51,3
52,3
53,4
54,3
55,3
56,2
57,3
58,2
59,2
60,3
61,3
62,3
63,2
64,3
65,3
66,4
67,4
68,4
69,3
70,3
71,4
72,3
73,2
74,3
75,3
76,3
77,1
78,2
79,3
80,3
81,3
82,3
83,3
84,1
85,3
86,4
87,1
88,3
89,3
90,3
91,3
92,3
93,3
94,2
95,4
96,4
97,4
98,3
99,2
100,3
101,3
102,3
103,2
104,4
105,1
106,4
107,2
108,3
109,3
110,3
111,2
112,3
113,3
114,3
115,3
116,2
117,1
118,3
119,3
120,3
121,3
122,4
123,3
124,4
125,4
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,2
135,3
136,2
137,3
138,2
139,3
140,3
141,2
142,3
143,4
144,2
145,2
146,3
147,3
148,3
149,3
150,3
151,3
152,2
153,4
154,3
155,3
156,1
157,3
158,4
159,3
160,3
161,1
162,3
163,3
164,4
165,3
166,4
167,1
168,3
169,3
170,2
171,3
172,2
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,2
184,3
185,3
186,3
187,2
188,3
189,3
190,3
191,2
192,3
193,3
194,2
195,2
196,3
197,3
198,2
199,4
200,3
201,3
202,3
203,3
204,3
205,2
206,3
207,3
208,3
209,3
210,3
211,3
212,2
213,3
214,3
215,3
216,3
217,3
218,1
219,3
220,1
221,2
222,3
223,3
224,3
225,1
226,3
227,3
228,3
229,4
230,3
231,3
232,1
233,3
234,4
235,2
236,3
237,3
238,3
239,3
240,3
241,2
242,3
243,3
244,3
245,3
246,2
247,3
248,4
249,4
250,4
251,3
252,3
253,2
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,2
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,4
271,2
272,1
273,2
274,1
275,4
276,3
277,2
278,3
279,3
280,3
281,2
282,1
283,2
284,1
285,3
286,3
287,3
288,3
289,4
290,3
291,3
292,3
293,1
294,2
295,1
296,3
297,3
298,4
299,3
300,3
301,1
302,3
303,2
304,2
305,3
306,3
307,4
308,3
309,3
310,3
311,1
312,2
313,2
314,1
315,3
316,4
317,2
318,3
319,3
320,3
321,3
322,3
323,2
324,2
325,4
326,3
327,3
328,2
329,4
330,4
331,2
332,2
333,1
334,3
335,2
336,3
337,3
338,2
339,3
340,3
341,2
342,3
343,3
344,3
345,3
346,2
347,2
348,4
349,1
350,3
351,3
352,2
353,3
354,3
355,1
356,2
357,3
358,3
359,2
360,3
361,3
362,3
363,1
364,4
365,3
366,3
367,3
368,3
369,1
370,3
371,3
372,3
373,2
374,2
375,3
376,2
377,2
378,3
379,3
380,4
381,3
382,4
383,3
384,4
385,4
386,1
387,4
388,4
389,3
390,2
391,3
392,2
393,2
394,2
395,1
396,2
397,3
398,2
399,2
400,2
401,2
402,3
403,3
404,3
405,2
406,3
407,3
408,3
409,3
410,1
411,4
412,3
413,3
414,2
415,1
416,4
417,2
418,3
419,3
420,2
421,3
422,4
423,4
424,2
425,1
426,3
427,2
428,2
429,2
430,3
431,3
432,2
433,3
434,3
435,3
436,2
437,3
438,2
439,4
440,3
441,3
442,2
443,2
444,3
445,1
446,2
447,3
448,3
449,2
450,4
451,2
452,3
453,3
454,3
455,3
456,3
457,4
458,3
459,3
460,3
461,4
462,3
463,4
464,3
465,3
466,2
467,3
468,2
469,3
470,4
471,2
472,3
473,4
474,4
475,3
476,3
477,3
478,3
479,1
480,3
481,4
482,4
483,3
484,3
485,3
486,3
487,3
488,4
489,2
490,3
491,1
492,4
493,3
494,3
495,3
496,3
497,3
498,1
499,3
500,3
501,2
502,3
503,2
504,3
505,2
506,1
507,3
508,3
509,3
510,2
511,4
512,3
513,4
514,3
515,3
516,3
517,3
518,2
519,3
520,2
521,3
522,3
523,3
524,2
525,3
526,3
527,2
528,4
529,2
530,3
531,3
532,2
533,3
534,3
535,3
536,3
537,2
538,3
539,2
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,2
548,4
549,3
550,3
551,2
552,3
553,3
554,4
555,1
556,2
557,3
558,3
559,3
560,3
561,3
562,1
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,4
571,3
572,2
573,3
574,3
575,3
576,3
577,3
578,1
579,3
580,3
581,2
582,4
583,3
584,2
585,3
586,3
587,4
588,3
589,1
590,1
591,3
592,1
593,3
594,3
595,3
596,2
597,3
598,3
599,3
600,3
601,4
602,3
603,3
604,3
605,3
606,2
607,3
608,1
609,3
610,4
611,3
612,4
613,1
614,1
615,4
616,3
617,3
618,2
619,2
620,3
621,3
622,3
623,3
624,2
625,3
626,2
627,3
628,2
629,3
630,3
631,3
632,3
633,3
634,3
635,4
636,1
637,3
638,3
639,3
640,3
641,3
642,3
643,4
644,3
645,3
646,3
647,3
648,3
649,3
650,3
651,3
652,2
653,3
654,1
655,3
656,3
657,3
658,2
659,3
660,3
661,3
662,3
663,2
664,2
665,3
666,3
667,1
668,3
669,3
670,3
671,3
672,4
673,2
674,3
675,2
676,1
677,3
678,2
679,2
680,3
681,4
682,1
683,3
684,3
685,3
686,3
687,3
688,3
689,4
690,1
691,1
692,4
693,3
694,3
695,3
696,3
697,3
698,2
699,3
700,4
701,2
702,1
703,1
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,2
713,1
714,3
715,4
716,3
717,1
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,2
726,3
727,3
728,3
729,3
730,3
731,3
732,1
733,3
734,3
735,3
736,3
737,3
738,3
739,1
740,3
741,3
742,3
743,3
744,2
745,3
746,2
747,4
748,2
749,4
750,4
751,2
752,3
753,3
754,3
755,2
756,3
757,2
758,2
759,4
760,3
761,3
762,3
763,3
764,3
765,2
766,3
767,3
768,3
769,3
770,3
771,3
772,2
773,3
774,3
775,3
776,3
777,3
778,3
779,2
780,2
781,3
782,3
783,2
784,3
785,1
786,3
787,3
788,3
789,3
790,3
791,3
792,3
793,3
794,2
795,3
796,3
797,3
798,2
799,2
800,3
801,3
802,3
803,3
804,2
805,3
806,2
807,3
808,3
809,2
810,2
811,2
812,3
813,3
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,4
825,3
826,3
827,3
828,3
829,3
830,2
831,3
832,3
833,3
834,3
835,3
836,3
837,3
838,1
839,3
840,3
841,3
842,3
843,2
844,3
845,1
846,3
847,2
848,2
849,3
850,3
851,2
852,3
853,3
854,3
855,3
856,3
857,4
858,3
859,3
860,3
861,3
862,4
863,3
864,3
865,3
866,3
867,3
868,3
869,1
870,3
871,3
872,3
873,3
874,3
875,3
876,2
877,1
878,3
879,1
880,3
881,3
882,4
883,3
884,3
885,3
886,4
887,3
888,2
889,2
890,1
891,2
892,3
893,2
894,2
895,3
896,3
897,3
898,3
899,3
900,3
901,3
902,2
903,2
904,3
905,3
906,3
907,3
908,3
909,3
910,4
911,2
912,3
913,3
914,3
915,4
916,3
917,2
918,3
919,1
920,3
921,3
922,3
923,4
924,3
925,3
926,3
927,3
928,3
929,3
930,3
931,3
932,3
933,3
934,4
935,4
936,3
937,3
938,3
939,3
940,3
941,3
942,3
943,1
