Row,Best_Algorithm
1,3
2,6
3,2
4,3
5,6
6,6
7,6
8,6
9,7
10,3
11,6
12,6
13,6
14,6
15,3
16,6
17,6
18,3
19,6
20,3
21,6
22,6
23,6
24,6
25,2
26,2
27,6
28,7
29,3
30,6
31,6
32,3
33,2
34,6
35,7
36,6
37,6
38,3
39,6
40,7
41,7
42,1
43,7
44,6
45,7
46,2
47,2
48,7
49,3
50,7
51,7
52,7
53,5
54,6
55,7
56,6
57,6
58,6
59,6
60,6
61,6
62,7
63,1
64,3
65,2
66,6
67,1
68,7
69,6
70,7
71,2
72,3
73,6
74,7
75,2
76,7
77,6
78,6
79,7
80,7
81,6
82,3
83,6
84,2
85,6
86,7
87,7
88,6
89,7
90,6
91,7
92,7
93,6
94,6
95,6
96,3
97,7
98,6
99,6
100,7
101,6
102,6
103,2
104,3
105,7
106,3
107,6
108,6
109,6
110,3
111,3
112,6
113,7
114,7
115,7
116,3
117,7
118,6
119,6
120,2
121,7
122,7
123,7
124,6
125,6
126,6
127,7
128,1
129,7
130,6
131,7
132,7
133,6
134,6
135,7
136,3
137,6
138,4
139,6
140,3
141,3
142,6
143,3
144,3
145,6
146,2
147,7
148,6
149,7
150,6
151,7
152,6
153,6
154,6
155,6
156,1
157,6
158,6
159,6
160,2
161,1
162,7
163,6
164,6
165,2
166,6
167,7
168,3
169,6
170,2
171,6
172,6
173,7
174,2
175,6
176,2
177,6
178,7
179,2
180,7
181,2
182,6
183,6
184,6
185,7
186,7
187,6
188,6
189,2
190,7
191,3
192,3
193,6
194,1
195,6
196,6
197,3
198,4
199,6
200,6
201,3
202,6
203,6
204,3
205,2
206,6
207,6
208,6
209,3
210,6
211,6
212,2
213,2
214,6
215,6
216,7
217,7
218,7
219,6
220,1
221,6
222,6
223,6
224,6
225,5
226,6
227,7
228,2
229,3
230,6
231,7
232,6
233,6
234,6
235,3
236,2
237,7
238,6
239,6
240,6
241,6
242,6
243,2
244,2
245,7
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,7
256,7
257,6
258,6
259,6
260,6
261,3
262,2
263,6
264,6
265,6
266,7
267,6
268,2
269,7
270,6
271,3
272,6
273,2
274,7
275,4
276,6
277,3
278,6
279,6
280,7
281,3
282,1
283,6
284,7
285,7
286,6
287,3
288,7
289,3
290,7
291,6
292,6
293,1
294,3
295,7
296,7
297,7
298,7
299,6
300,6
301,2
302,7
303,3
304,6
305,3
306,6
307,6
308,3
309,7
310,6
311,7
312,3
313,6
314,7
315,7
316,7
317,6
318,3
319,6
320,7
321,7
322,6
323,2
324,6
325,6
326,6
327,7
328,3
329,4
330,7
331,2
332,2
333,1
334,6
335,3
336,1
337,6
338,2
339,7
340,6
341,5
342,6
343,6
344,6
345,2
346,2
347,2
348,6
349,7
350,6
351,3
352,6
353,6
354,7
355,7
356,1
357,6
358,6
359,6
360,6
361,6
362,6
363,7
364,2
365,6
366,7
367,2
368,5
369,7
370,7
371,6
372,7
373,7
374,3
375,7
376,3
377,6
378,6
379,6
380,3
381,6
382,2
383,6
384,3
385,3
386,7
387,2
388,4
389,7
390,3
391,2
392,6
393,6
394,6
395,7
396,6
397,6
398,6
399,6
400,6
401,2
402,7
403,6
404,7
405,2
406,6
407,2
408,7
409,6
410,7
411,1
412,6
413,6
414,6
415,7
416,7
417,6
418,6
419,7
420,7
421,6
422,7
423,3
424,2
425,1
426,3
427,2
428,3
429,7
430,6
431,7
432,2
433,7
434,6
435,6
436,3
437,7
438,6
439,6
440,7
441,6
442,3
443,6
444,7
445,1
446,5
447,3
448,7
449,2
450,3
451,5
452,6
453,3
454,6
455,6
456,2
457,6
458,7
459,6
460,6
461,3
462,7
463,2
464,7
465,1
466,6
467,7
468,6
469,6
470,2
471,3
472,6
473,2
474,7
475,7
476,3
477,6
478,6
479,1
480,2
481,4
482,6
483,6
484,6
485,7
486,6
487,6
488,6
489,3
490,6
491,7
492,7
493,6
494,7
495,6
496,6
497,7
498,7
499,7
500,7
501,6
502,7
503,3
504,6
505,3
506,1
507,7
508,6
509,7
510,6
511,6
512,6
513,6
514,7
515,3
516,2
517,7
518,3
519,6
520,3
521,7
522,3
523,7
524,3
525,7
526,6
527,6
528,7
529,3
530,7
531,7
532,6
533,6
534,7
535,7
536,1
537,2
538,6
539,6
540,7
541,6
542,6
543,6
544,7
545,7
546,7
547,3
548,6
549,2
550,6
551,3
552,2
553,6
554,6
555,7
556,6
557,7
558,6
559,6
560,7
561,6
562,7
563,3
564,6
565,6
566,6
567,6
568,6
569,7
570,7
571,7
572,1
573,7
574,3
575,6
576,6
577,6
578,7
579,6
580,6
581,6
582,6
583,6
584,6
585,6
586,7
587,6
588,6
589,4
590,7
591,6
592,2
593,6
594,6
595,6
596,6
597,6
598,2
599,7
600,6
601,6
602,6
603,6
604,6
605,6
606,6
607,6
608,7
609,2
610,6
611,6
612,6
613,7
614,7
615,2
616,3
617,1
618,6
619,6
620,6
621,7
622,6
623,6
624,6
625,6
626,6
627,7
628,3
629,6
630,6
631,7
632,7
633,6
634,7
635,6
636,7
637,6
638,6
639,6
640,6
641,2
642,7
643,3
644,3
645,7
646,7
647,7
648,6
649,2
650,6
651,7
652,2
653,7
654,7
655,6
656,6
657,6
658,6
659,6
660,6
661,7
662,6
663,3
664,6
665,7
666,7
667,7
668,6
669,7
670,7
671,3
672,6
673,3
674,7
675,2
676,1
677,2
678,4
679,1
680,6
681,6
682,7
683,3
684,6
685,6
686,6
687,6
688,6
689,5
690,7
691,7
692,3
693,6
694,2
695,3
696,7
697,2
698,6
699,7
700,3
701,3
702,7
703,7
704,7
705,7
706,6
707,7
708,6
709,3
710,6
711,7
712,6
713,7
714,7
715,3
716,6
717,7
718,6
719,6
720,6
721,7
722,3
723,6
724,6
725,3
726,6
727,3
728,7
729,7
730,2
731,7
732,3
733,7
734,7
735,6
736,6
737,6
738,6
739,7
740,6
741,6
742,6
743,7
744,6
745,7
746,6
747,6
748,1
749,6
750,3
751,7
752,6
753,7
754,6
755,6
756,3
757,2
758,6
759,6
760,7
761,7
762,6
763,7
764,7
765,6
766,7
767,6
768,6
769,6
770,7
771,7
772,4
773,6
774,7
775,6
776,3
777,6
778,4
779,6
780,6
781,6
782,7
783,3
784,6
785,7
786,6
787,6
788,6
789,6
790,1
791,6
792,3
793,6
794,6
795,7
796,6
797,6
798,2
799,6
800,6
801,6
802,6
803,6
804,6
805,2
806,6
807,6
808,2
809,3
810,3
811,6
812,3
813,6
814,7
815,6
816,6
817,3
818,2
819,7
820,6
821,6
822,6
823,6
824,3
825,6
826,6
827,3
828,2
829,6
830,1
831,6
832,6
833,6
834,6
835,6
836,3
837,6
838,7
839,7
840,2
841,6
842,6
843,3
844,6
845,6
846,6
847,6
848,6
849,6
850,6
851,3
852,6
853,3
854,6
855,6
856,6
857,6
858,7
859,6
860,2
861,6
862,2
863,6
864,3
865,6
866,6
867,1
868,7
869,7
870,6
871,6
872,6
873,6
874,6
875,6
876,3
877,7
878,6
879,7
880,1
881,3
882,6
883,6
884,6
885,6
886,1
887,6
888,2
889,6
890,1
891,5
892,7
893,6
894,3
895,6
896,6
897,6
898,7
899,3
900,6
901,7
902,3
903,6
904,7
905,7
906,2
907,7
908,7
909,6
910,2
911,3
912,7
913,6
914,6
915,1
916,3
917,3
918,2
919,2
920,6
921,2
922,6
923,5
924,7
925,6
926,6
927,7
928,7
929,6
930,6
931,2
932,3
933,6
934,6
935,3
936,7
937,6
938,7
939,5
940,6
941,6
942,6
943,7
944,6
945,3
946,6
947,6
948,7
949,7
950,2
951,6
952,6
953,3
954,6
955,2
956,6
957,7
958,6
959,6
960,7
961,6
962,7
963,6
964,7
965,7
966,2
967,2
968,7
969,6
970,6
971,7
972,7
973,3
974,6
975,6
976,7
977,7
978,2
979,6
980,6
981,7
982,6
983,7
984,7
985,6
986,4
987,7
988,6
989,3
990,7
991,6
992,2
993,6
994,6
995,7
996,7
997,7
998,7
999,3
1000,6
1001,6
1002,5
1003,6
1004,7
1005,7
1006,7
1007,2
1008,4
1009,7
1010,7
1011,7
1012,7
1013,5
1014,6
1015,6
1016,7
1017,3
1018,2
1019,7
1020,4
1021,6
1022,7
1023,6
1024,6
1025,6
1026,1
1027,6
1028,6
1029,6
1030,6
1031,7
1032,6
1033,6
1034,3
1035,6
1036,7
1037,6
1038,6
1039,6
1040,6
1041,2
1042,7
1043,6
1044,6
1045,6
1046,6
1047,7
1048,6
1049,3
1050,6
1051,7
1052,7
1053,3
1054,6
1055,3
1056,3
1057,2
1058,6
1059,1
1060,7
1061,2
1062,6
1063,1
1064,4
1065,6
1066,6
1067,6
1068,6
1069,6
1070,6
1071,6
1072,2
1073,6
1074,6
1075,6
1076,2
1077,7
1078,6
1079,3
1080,3
1081,6
1082,6
1083,6
1084,6
1085,6
1086,6
1087,2
1088,6
1089,3
1090,6
1091,6
1092,6
1093,6
1094,3
1095,6
1096,7
1097,7
1098,2
1099,1
1100,4
1101,3
1102,6
